,MusicPlayer,Messenger,Calendar,WordProcessor,PDFReader
Computer,0.2,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285
Cup,0.5,0.25,0.25,0.25,0.25
Calendar,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
Plant,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Lamp,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Notebook,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5
Phone,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Bed,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Keyboard,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
PencilCase,0.2,0.2,0.2,1.0,0.5
Headphones,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mouse,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
Scissors,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
Book,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0
Stapler,0.25,0.25,0.25,0.3333333333333333,0.25
Package,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
VRHeadset,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
